"Data file recorded 2023/8/27  12:31:48"
" time  hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15"
# Hello World 7/11/23 from main()
# LED0 initialized PA5
# led_init: success. Wait for LED blink
# Starting print thread
# printq access blocked by other thread. msg = # printq test message- hello from main.c 
# Clock cycles per second 96000000
 # End DAC init. Using PA4. DAC_MAX=4095 and DAC channel 1
# End ADC init PB0 PB1 PC0 PC1 PC2 PC3 PC4 PC5
# End PWM init. TIM1 PA8 PA9 PA10 PA11, TIM4 PB6 PB7 PB8 PB9, PWM13 PA6, PWM14 PA7
# End HX711 init TIM2 Ch4 PB2 as PD_SCK and PB5 as DOUT input
# End qdec inputs init. TIM3 PC6 PC7, TIM5 PA0 PA1 (32 bit)
# Starting heartbeat thread
# Starting uart input thread
# Starting hx711 thread
# Starting control thread
# Starting print_state thread
# Starting uart input thread: at tick 0.331803 
 # Starting hx711_thread
 # Starting print_state thread: at tick 32501203 (5000 ms PRNWAIT)
 #      t=,    hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15  
 # Input_thread count 603 time 35.804729 cmd = PFRQ1 value = 853
 # Input_thread count 604 time 35.821331 cmd = PFRQ2 value = -853
   35.8786,        0,     0,     0, 1573,  1339,  1715,  1725,  1853,  2726,  2034,  2034
 # Input_thread count 605 time 35.920532 cmd = PFRQ1 value = 833
 # Input_thread count 606 time 35.937130 cmd = PFRQ2 value = -833
   35.9788,        0,     0,     0, 1420,  1353,  1581,  1611,  1712,  2664,  1942,  1942
 # Input_thread count 607 time 36.009830 cmd = PFRQ1 value = 813
 # Input_thread count 608 time 36.024235 cmd = PFRQ2 value = -813
   36.0800,        0,     0,     0, 1382,  1083,  1377,  1394,  1451,  2575,  1800,  1800
 # Input_thread count 609 time 36.121128 cmd = PFRQ1 value = 793
 # Input_thread count 610 time 36.136635 cmd = PFRQ2 value = -793
   36.1823,        0,     0,     0, 1190,   987,   963,   954,   797,  1654,  1570,  1570
 # Input_thread count 611 time 36.225834 cmd = PFRQ1 value = 772
 # Input_thread count 612 time 36.241333 cmd = PFRQ2 value = -772
   36.2836,        0,     0,     0,  958,   872,   726,   720,   554,   641,  1080,  1080
 # Input_thread count 613 time 36.320633 cmd = PFRQ1 value = 752
 # Input_thread count 614 time 36.337231 cmd = PFRQ2 value = -752
   36.3848,        0,     0,     0,  814,   656,   715,   771,   716,   518,   695,   695
 # Input_thread count 615 time 36.406631 cmd = PFRQ1 value = 731
 # Input_thread count 616 time 36.421032 cmd = PFRQ2 value = -731
   36.4850,        0,     0,     0, 1012,  1100,   949,   903,   829,   557,  1016,  1016
 # Input_thread count 617 time 36.506031 cmd = PFRQ1 value = 710
 # Input_thread count 618 time 36.521549 cmd = PFRQ2 value = -710
   36.5862,        0,     0,     0,  854,   709,   942,   942,   985,   598,   714,   714
 # Input_thread count 619 time 36.621735 cmd = PFRQ1 value = 690
 # Input_thread count 620 time 36.644928 cmd = PFRQ2 value = -690
   36.6885,        0,     0,     0, 1024,  1117,  1132,  1113,  1126,   662,   926,   926
 # Input_thread count 621 time 36.707733 cmd = PFRQ1 value = 669
 # Input_thread count 622 time 36.722134 cmd = PFRQ2 value = -669
   36.7897,        0,     0,     0,  939,   836,  1030,  1110,  1146,   684,  1084,  1084
 # Input_thread count 623 time 36.806934 cmd = PFRQ1 value = 648
 # Input_thread count 624 time 36.823528 cmd = PFRQ2 value = -648
   36.8898,        0,     0,     0, 1060,  1091,  1096,  1122,  1149,   694,   971,   971
 # Input_thread count 625 time 36.924835 cmd = PFRQ1 value = 627
 # Input_thread count 626 time 36.940334 cmd = PFRQ2 value = -627
   36.9944,        0,     0,     0, 1164,  1137,  1376,  1405,  1515,  1314,  1142,  1142
 # Input_thread count 627 time 37.038532 cmd = PFRQ1 value = 605
 # Input_thread count 628 time 37.060631 cmd = PFRQ2 value = -605
   37.0945,        0,     0,     0, 1336,  1353,  1507,  1519,  1633,  1485,  1432,  1432
 # Input_thread count 629 time 37.138832 cmd = PFRQ1 value = 584
 # Input_thread count 630 time 37.162029 cmd = PFRQ2 value = -584
   37.1968,        0,     0,     0, 1415,  1420,  1736,  1705,  1896,  2748,  1866,  1866
 # Input_thread count 631 time 37.239132 cmd = PFRQ1 value = 563
 # Input_thread count 632 time 37.261234 cmd = PFRQ2 value = -563
   37.2992,        0,     0,     0, 1333,  1084,  1316,  1350,  1402,  2585,  1864,  1864
 # Input_thread count 633 time 37.324036 cmd = PFRQ1 value = 542
 # Input_thread count 634 time 37.339535 cmd = PFRQ2 value = -542
   37.4004,        0,     0,     0, 1349,  1294,  1149,  1148,  1057,  2125,  1794,  1794
 # Input_thread count 635 time 37.425430 cmd = PFRQ1 value = 520
 # Input_thread count 636 time 37.439835 cmd = PFRQ2 value = -520
   37.5028,        0,     0,     0,  990,  1016,   751,   772,   569,   501,   975,   975
 # Input_thread count 637 time 37.541126 cmd = PFRQ1 value = 499
 # Input_thread count 638 time 37.563236 cmd = PFRQ2 value = -499
   37.6051,        0,     0,     0,  993,   911,   999,  1024,   997,   608,  1012,  1012
 # Input_thread count 639 time 37.640434 cmd = PFRQ1 value = 477
 # Input_thread count 640 time 37.663635 cmd = PFRQ2 value = -477
   37.7052,        0,     0,     0,  994,  1052,  1066,  1042,   996,   599,   896,   896
 # Input_thread count 641 time 37.741833 cmd = PFRQ1 value = 457
 # Input_thread count 642 time 37.763935 cmd = PFRQ2 value = -457
   37.8075,        0,     0,     0, 1076,  1259,  1192,  1141,  1139,   671,  1068,  1068
 # Input_thread count 643 time 37.842133 cmd = PFRQ1 value = 435
 # Input_thread count 644 time 37.864231 cmd = PFRQ2 value = -435
   37.9087,        0,     0,     0,  895,   809,   984,  1038,  1081,   636,   860,   860
 # Input_thread count 645 time 37.927029 cmd = PFRQ1 value = 414
 # Input_thread count 646 time 37.942532 cmd = PFRQ2 value = -414
   38.0089,        0,     0,     0, 1027,  1055,  1082,  1081,  1127,   694,   969,   969
 # Input_thread count 647 time 38.064732 cmd = PFRQ1 value = 393
 # Input_thread count 648 time 38.080231 cmd = PFRQ2 value = -393
   38.1112,        0,     0,     0, 1078,   991,  1130,  1146,  1159,   719,  1073,  1073
 # Input_thread count 649 time 38.165035 cmd = PFRQ1 value = 372
 # Input_thread count 650 time 38.180634 cmd = PFRQ2 value = -372
   38.2135,        0,     0,     0, 1207,  1160,  1421,  1420,  1568,  1478,  1226,  1226
 # Input_thread count 651 time 38.265434 cmd = PFRQ1 value = 351
 # Input_thread count 652 time 38.280933 cmd = PFRQ2 value = -351
   38.3137,        0,     0,     0, 1361,  1342,  1622,  1601,  1734,  1771,  1470,  1470
 # Input_thread count 653 time 38.365734 cmd = PFRQ1 value = 330
 # Input_thread count 654 time 38.381233 cmd = PFRQ2 value = -330
   38.4149,        0,     0,     0, 1378,  1402,  1726,  1711,  1942,  2610,  1759,  1759
 # Input_thread count 655 time 38.467133 cmd = PFRQ1 value = 309
 # Input_thread count 656 time 38.498035 cmd = PFRQ2 value = -309
   38.5173,        0,     0,     0, 1340,  1094,  1414,  1449,  1496,  2605,  1863,  1863
 # Input_thread count 657 time 38.567432 cmd = PFRQ1 value = 288
 # Input_thread count 658 time 38.582932 cmd = PFRQ2 value = -288
   38.6174,        0,     0,     0, 1512,  1494,  1508,  1483,  1493,  2617,  2015,  2015
 # Input_thread count 659 time 38.667732 cmd = PFRQ1 value = 268
 # Input_thread count 660 time 38.683235 cmd = PFRQ2 value = -268
   38.7197,        0,     0,     0, 1186,  1235,  1030,   976,   832,  1726,  1522,  1522
 # Input_thread count 661 time 38.746037 cmd = PFRQ1 value = 247
 # Input_thread count 662 time 38.768230 cmd = PFRQ2 value = -247
   38.8198,        0,     0,     0, 1248,  1167,   939,   940,   778,  1572,  1500,  1500
 # Input_thread count 663 time 38.846432 cmd = PFRQ1 value = 227
 # Input_thread count 664 time 38.876228 cmd = PFRQ2 value = -227
   38.9221,        0,     0,     0,  968,   880,   808,   833,   735,   537,   974,   974
 # Input_thread count 665 time 38.968735 cmd = PFRQ1 value = 206
 # Input_thread count 666 time 38.984234 cmd = PFRQ2 value = -206
   39.0223,        0,     0,     0,  826,   604,   726,   812,   756,   548,   705,   705
 # Input_thread count 667 time 39.048134 cmd = PFRQ1 value = 186
 # Input_thread count 668 time 39.068035 cmd = PFRQ2 value = -186
   39.1235,        0,     0,     0, 1044,   948,  1029,  1040,   989,   595,  1041,  1041
 # Input_thread count 669 time 39.146236 cmd = PFRQ1 value = 166
 # Input_thread count 670 time 39.168335 cmd = PFRQ2 value = -166
   39.2247,        0,     0,     0,  971,  1304,   998,  1017,  1064,   607,   855,   855
 # Input_thread count 671 time 39.268532 cmd = PFRQ1 value = 146
 # Input_thread count 672 time 39.299431 cmd = PFRQ2 value = -146
   39.3282,        0,     0,     0,  928,   814,  1006,  1048,  1083,   653,   898,   898
 # Input_thread count 673 time 39.353436 cmd = PFRQ1 value = 126
 # Input_thread count 674 time 39.369034 cmd = PFRQ2 value = -126
   39.4283,        0,     0,     0, 1019,   932,  1077,  1102,  1149,   714,   979,   979
 # Input_thread count 675 time 39.447235 cmd = PFRQ1 value = 107
 # Input_thread count 676 time 39.469357 cmd = PFRQ2 value = -107
   39.5307,        0,     0,     0, 1068,  1092,  1091,  1116,  1149,   754,  1017,  1017
 # Input_thread count 677 time 39.586029 cmd = PFRQ1 value = 87
 # Input_thread count 678 time 39.601532 cmd = PFRQ2 value = -87
   39.6319,        0,     0,     0, 1165,  1216,  1402,  1403,  1545,  1337,  1162,  1162
 # Input_thread count 679 time 39.686329 cmd = PFRQ1 value = 68
 # Input_thread count 680 time 39.701828 cmd = PFRQ2 value = -68
   39.7342,        0,     0,     0, 1394,  1294,  1707,  1693,  1907,  2740,  1769,  1769
 # Input_thread count 681 time 39.786625 cmd = PFRQ1 value = 48
 # Input_thread count 682 time 39.802132 cmd = PFRQ2 value = -48
   39.8354,        0,     0,     0, 1512,  1496,  1604,  1608,  1660,  2679,  2148,  2148
 # Input_thread count 683 time 39.872631 cmd = PFRQ1 value = 30
 # Input_thread count 684 time 39.887028 cmd = PFRQ2 value = -30
   39.9366,        0,     0,     0, 1365,  1216,  1362,  1360,  1419,  2568,  1766,  1766
 # Input_thread count 685 time 39.987328 cmd = PFRQ1 value = 11
 # Input_thread count 686 time 40.002831 cmd = PFRQ2 value = -11
   40.0379,        0,     0,     0, 1393,  1324,  1165,  1124,  1038,  2104,  1782,  1782
 # Input_thread count 687 time 40.087627 cmd = PFRQ1 value = -6
 # Input_thread count 688 time 40.103127 cmd = PFRQ2 value = 6
   40.1391,        0,     0,     0, 1055,   863,   809,   830,   661,  1176,  1219,  1219
 # Input_thread count 689 time 40.186836 cmd = PFRQ1 value = -25
 # Input_thread count 690 time 40.218830 cmd = PFRQ2 value = 25
   40.2414,        0,     0,     0,  853,   689,   801,   820,   802,   537,   690,   690
 # Input_thread count 691 time 40.271732 cmd = PFRQ1 value = -43
 # Input_thread count 692 time 40.287231 cmd = PFRQ2 value = 43
   40.3416,        0,     0,     0, 1011,   896,   915,   939,   886,   580,   897,   897
 # Input_thread count 693 time 40.372055 cmd = PFRQ1 value = -60
 # Input_thread count 694 time 40.387535 cmd = PFRQ2 value = 60
   40.4439,        0,     0,     0,  955,   829,  1016,  1047,  1076,   621,  1052,  1052
 # Input_thread count 695 time 40.487732 cmd = PFRQ1 value = -78
 # Input_thread count 696 time 40.503235 cmd = PFRQ2 value = 78
   40.5462,        0,     0,     0,  906,   792,   985,  1057,  1101,   667,   872,   872
 # Input_thread count 697 time 40.588135 cmd = PFRQ1 value = -95
 # Input_thread count 698 time 40.620132 cmd = PFRQ2 value = 95
   40.6474,        0,     0,     0, 1084,  1415,  1193,  1132,  1162,   699,  1016,  1016
 # Input_thread count 699 time 40.688435 cmd = PFRQ1 value = -112
 # Input_thread count 700 time 40.719334 cmd = PFRQ2 value = 112
   40.7486,        0,     0,     0,  934,  1067,  1034,  1028,  1085,   692,   886,   886
 # Input_thread count 701 time 40.788727 cmd = PFRQ1 value = -129
 # Input_thread count 702 time 40.804234 cmd = PFRQ2 value = 129
   40.8510,        0,     0,     0, 1135,   990,  1436,  1410,  1556,  1475,  1219,  1219
 # Input_thread count 703 time 40.889030 cmd = PFRQ1 value = -145
 # Input_thread count 704 time 40.904533 cmd = PFRQ2 value = 145
   40.9522,        0,     0,     0, 1424,  1361,  1719,  1701,  1906,  2438,  1780,  1780
 # Input_thread count 705 time 40.998135 cmd = PFRQ1 value = -161
 # Input_thread count 706 time 41.013634 cmd = PFRQ2 value = 161
   41.0535,        0,     0,     0, 1498,  1352,  1733,  1713,  1813,  2700,  2113,  2113
 # Input_thread count 707 time 41.074230 cmd = PFRQ1 value = -177
 # Input_thread count 708 time 41.088634 cmd = PFRQ2 value = 177
   41.1547,        0,     0,     0, 1336,  1050,  1384,  1432,  1488,  2596,  1879,  1879
 # Input_thread count 709 time 41.197731 cmd = PFRQ1 value = -192
 # Input_thread count 710 time 41.213230 cmd = PFRQ2 value = 192
   41.2559,        0,     0,     0, 1472,  1202,  1345,  1314,  1295,  2528,  1978,  1978
 # Input_thread count 711 time 41.290333 cmd = PFRQ1 value = -207
 # Input_thread count 712 time 41.305836 cmd = PFRQ2 value = 207
   41.3572,        0,     0,     0, 1260,  1246,  1003,   999,   856,  1782,  1704,  1704
 # Input_thread count 713 time 41.390636 cmd = PFRQ1 value = -222
 # Input_thread count 714 time 41.421532 cmd = PFRQ2 value = 222
   41.4595,        0,     0,     0,  924,   907,   714,   770,   640,   496,   816,   816
 # Input_thread count 715 time 41.490932 cmd = PFRQ1 value = -237
 # Input_thread count 716 time 41.506435 cmd = PFRQ2 value = 237
   41.5597,        0,     0,     0, 1000,   877,   830,   852,   742,   546,   885,   885
 # Input_thread count 717 time 41.617634 cmd = PFRQ1 value = -251
 # Input_thread count 718 time 41.633129 cmd = PFRQ2 value = 251
   41.6609,        0,     0,     0,  958,   978,   977,   994,   975,   594,   844,   844
 # Input_thread count 719 time 41.693729 cmd = PFRQ1 value = -265
 # Input_thread count 720 time 41.708134 cmd = PFRQ2 value = 265
   41.7632,        0,     0,     0,  903,   740,  1005,  1065,  1094,   629,   759,   759
 # Input_thread count 721 time 41.815033 cmd = PFRQ1 value = -278
 # Input_thread count 722 time 41.831635 cmd = PFRQ2 value = 278
   41.8633,        0,     0,     0,  970,   845,  1038,  1060,  1089,   634,   887,   887
 # Input_thread count 723 time 41.908741 cmd = PFRQ1 value = -291
 # Input_thread count 724 time 41.925331 cmd = PFRQ2 value = 291
   41.9656,        0,     0,     0,  932,  1053,  1033,  1053,  1120,   681,   854,   854
 # Input_thread count 725 time 41.994732 cmd = PFRQ1 value = -304
 # Input_thread count 726 time 42.010231 cmd = PFRQ2 value = 304
   42.0669,        0,     0,     0,  996,   901,  1060,  1089,  1094,   702,   797,   797
 # Input_thread count 727 time 42.110432 cmd = PFRQ1 value = -317
 # Input_thread count 728 time 42.125931 cmd = PFRQ2 value = 317
   42.1670,        0,     0,     0,  917,   968,  1011,  1047,  1102,   712,   871,   871
 # Input_thread count 729 time 42.195332 cmd = PFRQ1 value = -329
 # Input_thread count 730 time 42.210831 cmd = PFRQ2 value = 329
   42.2693,        0,     0,     0, 1070,  1129,  1341,  1296,  1395,  1205,  1015,  1015
 # Input_thread count 731 time 42.311035 cmd = PFRQ1 value = -340
 # Input_thread count 732 time 42.327625 cmd = PFRQ2 value = 340
   42.3717,        0,     0,     0, 1300,  1036,  1638,  1655,  1901,  2741,  1741,  1741
 # Input_thread count 733 time 42.411434 cmd = PFRQ1 value = -352
 # Input_thread count 734 time 42.426941 cmd = PFRQ2 value = 352
   42.4718,        0,     0,     0, 1341,  1136,  1652,  1678,  1882,  2735,  1906,  1906
 # Input_thread count 735 time 42.497433 cmd = PFRQ1 value = -363
 # Input_thread count 736 time 42.511833 cmd = PFRQ2 value = 363
   42.5741,        0,     0,     0, 1425,  1334,  1399,  1381,  1405,  2590,  1813,  1813
 # Input_thread count 737 time 42.597733 cmd = PFRQ1 value = -373
 # Input_thread count 738 time 42.612133 cmd = PFRQ2 value = 373
   42.6754,        0,     0,     0, 1285,  1009,  1084,  1117,  1064,  2162,  1753,  1753
 # Input_thread count 739 time 42.698032 cmd = PFRQ1 value = -383
 # Input_thread count 740 time 42.713531 cmd = PFRQ2 value = 383
   42.7766,        0,     0,     0, 1105,  1072,   841,   838,   683,  1285,  1261,  1261
 # Input_thread count 741 time 42.813732 cmd = PFRQ1 value = -393
 # Input_thread count 742 time 42.829235 cmd = PFRQ2 value = 393
   42.8789,        0,     0,     0,  923,   923,   840,   869,   806,   549,   808,   808
 # Input_thread count 743 time 42.898636 cmd = PFRQ1 value = -402
 # Input_thread count 744 time 42.914238 cmd = PFRQ2 value = 402
   42.9801,        0,     0,     0, 1082,  1079,  1044,  1065,  1025,   579,   924,   924
 # Input_thread count 745 time 43.015530 cmd = PFRQ1 value = -411
 # Input_thread count 746 time 43.031029 cmd = PFRQ2 value = 411
   43.0803,        0,     0,     0,  982,  1010,  1023,  1040,  1016,   611,   862,   862
 # Input_thread count 747 time 43.099335 cmd = PFRQ1 value = -420
 # Input_thread count 748 time 43.114834 cmd = PFRQ2 value = 420
   43.1837,        0,     0,     0,  984,  1084,  1082,  1084,  1125,   678,   857,   857
 # Input_thread count 749 time 43.218334 cmd = PFRQ1 value = -428
 # Input_thread count 750 time 43.233833 cmd = PFRQ2 value = 428
   43.2849,        0,     0,     0, 1060,  1098,  1100,  1110,  1152,   695,   981,   981
 # Input_thread count 751 time 43.316433 cmd = PFRQ1 value = -436
 # Input_thread count 752 time 43.330833 cmd = PFRQ2 value = 436
   43.3851,        0,     0,     0,  952,  1024,  1048,  1068,  1121,   707,   896,   896
 # Input_thread count 753 time 43.416756 cmd = PFRQ1 value = -443
 # Input_thread count 754 time 43.432228 cmd = PFRQ2 value = 443
   43.4874,        0,     0,     0,  912,   767,  1038,  1058,  1112,   752,   834,   834
 # Input_thread count 755 time 43.532433 cmd = PFRQ1 value = -450
 # Input_thread count 756 time 43.548035 cmd = PFRQ2 value = 450
   43.5897,        0,     0,     0, 1332,  1322,  1660,  1647,  1878,  2297,  1682,  1682
 # Input_thread count 757 time 43.618526 cmd = PFRQ1 value = -456
 # Input_thread count 758 time 43.632931 cmd = PFRQ2 value = 456
   43.6899,        0,     0,     0, 1268,  1100,  1655,  1653,  1901,  2471,  1707,  1707
 # Input_thread count 759 time 43.717731 cmd = PFRQ1 value = -462
 # Input_thread count 760 time 43.733231 cmd = PFRQ2 value = 462
   43.7922,        0,     0,     0, 1361,  1391,  1510,  1497,  1566,  2618,  1910,  1910
 # Input_thread count 761 time 43.818039 cmd = PFRQ1 value = -468
 # Input_thread count 762 time 43.833534 cmd = PFRQ2 value = 468
   43.8934,        0,     0,     0, 1456,  1206,  1394,  1356,  1358,  2570,  1978,  1978
 # Input_thread count 763 time 43.919434 cmd = PFRQ1 value = -473
 # Input_thread count 764 time 43.933834 cmd = PFRQ2 value = 473
   43.9957,        0,     0,     0, 1149,  1011,   904,   878,   701,  1247,  1446,  1446
 # Input_thread count 765 time 44.035130 cmd = PFRQ1 value = -477
 # Input_thread count 766 time 44.050629 cmd = PFRQ2 value = 477
   44.0981,        0,     0,     0, 1040,   915,   928,   955,   874,   576,  1008,  1008
 # Input_thread count 767 time 44.135628 cmd = PFRQ1 value = -482
 # Input_thread count 768 time 44.150036 cmd = PFRQ2 value = 482
   44.1982,        0,     0,     0, 1044,   880,   956,   987,   908,   559,   890,   890
 # Input_thread count 769 time 44.220531 cmd = PFRQ1 value = -485
 # Input_thread count 770 time 44.236031 cmd = PFRQ2 value = 485
   44.3005,        0,     0,     0, 1184,  1503,  1229,  1190,  1146,   661,  1081,  1081
 # Input_thread count 771 time 44.345036 cmd = PFRQ1 value = -489
 # Input_thread count 772 time 44.360535 cmd = PFRQ2 value = 489
   44.4029,        0,     0,     0, 1061,   973,  1118,  1153,  1153,   663,  1047,  1047
 # Input_thread count 773 time 44.436535 cmd = PFRQ1 value = -492
 # Input_thread count 774 time 44.452057 cmd = PFRQ2 value = 492
   44.5041,        0,     0,     0,  919,   928,  1011,  1068,  1110,   694,   786,   786
 # Input_thread count 775 time 44.562134 cmd = PFRQ1 value = -494
 # Input_thread count 776 time 44.589756 cmd = PFRQ2 value = 494
   44.6053,        0,     0,     0, 1084,  1168,  1107,  1136,  1160,   704,   983,   983
 # Input_thread count 777 time 44.637131 cmd = PFRQ1 value = -496
 # Input_thread count 778 time 44.651535 cmd = PFRQ2 value = 496
   44.7066,        0,     0,     0,  971,   873,  1075,  1113,  1190,   817,   956,   956
 # Input_thread count 779 time 44.751839 cmd = PFRQ1 value = -498
 # Input_thread count 780 time 44.767334 cmd = PFRQ2 value = 498
   44.8068,        0,     0,     0, 1026,   910,  1068,  1131,  1218,   891,   858,   858
 # Input_thread count 781 time 44.836731 cmd = PFRQ1 value = -499
 # Input_thread count 782 time 44.852230 cmd = PFRQ2 value = 499
   44.9081,        0,     0,     0, 1280,  1210,  1580,  1521,  1740,  1906,  1518,  1518
 # Input_thread count 783 time 44.952431 cmd = PFRQ1 value = -499
 # Input_thread count 784 time 44.967930 cmd = PFRQ2 value = 499
   45.0093,        0,     0,     0, 1322,  1550,  1717,  1652,  1920,  2710,  1802,  1802
 # Input_thread count 785 time 45.052731 cmd = PFRQ1 value = -499
 # Input_thread count 786 time 45.068230 cmd = PFRQ2 value = 499
   45.1116,        0,     0,     0, 1324,  1050,  1405,  1395,  1444,  2577,  1791,  1791
 # Input_thread count 787 time 45.136532 cmd = PFRQ1 value = -499
 # Input_thread count 788 time 45.152031 cmd = PFRQ2 value = 499
   45.2118,        0,     0,     0, 1430,  1413,  1464,  1396,  1426,  2574,  2066,  2066
 # Input_thread count 789 time 45.252235 cmd = PFRQ1 value = -499
 # Input_thread count 790 time 45.267735 cmd = PFRQ2 value = 499
   45.3141,        0,     0,     0, 1108,  1070,   920,   905,   770,  1610,  1415,  1415
 # Input_thread count 791 time 45.336033 cmd = PFRQ1 value = -497
 # Input_thread count 792 time 45.351639 cmd = PFRQ2 value = 497
   45.4153,        0,     0,     0, 1033,   838,   736,   784,   561,   716,  1044,  1044
 # Input_thread count 793 time 45.446335 cmd = PFRQ1 value = -496
 # Input_thread count 794 time 45.461857 cmd = PFRQ2 value = 496
   45.5165,        0,     0,     0,  914,   756,   762,   842,   738,   540,   833,   833
 # Input_thread count 795 time 45.536736 cmd = PFRQ1 value = -494
 # Input_thread count 796 time 45.552235 cmd = PFRQ2 value = 494
   45.6177,        0,     0,     0,  938,   735,   922,   973,   962,   577,   717,   717
 # Input_thread count 797 time 45.660133 cmd = PFRQ1 value = -491
 # Input_thread count 798 time 45.689938 cmd = PFRQ2 value = 491
   45.7202,        0,     0,     0,  986,   949,  1014,  1090,  1095,   632,   883,   883
 # Input_thread count 799 time 45.767036 cmd = PFRQ1 value = -488
 # Input_thread count 800 time 45.789135 cmd = PFRQ2 value = 488
   45.8203,        0,     0,     0, 1126,  1193,  1138,  1166,  1133,   662,  1059,  1059
 # Input_thread count 801 time 45.853031 cmd = PFRQ1 value = -485
 # Input_thread count 802 time 45.867435 cmd = PFRQ2 value = 485
   45.9227,        0,     0,     0, 1065,   984,  1128,  1177,  1172,   686,  1042,  1042
 # Input_thread count 803 time 45.943436 cmd = PFRQ1 value = -481
 # Input_thread count 804 time 45.960033 cmd = PFRQ2 value = 481
   46.0250,        0,     0,     0,  914,   807,  1027,  1051,  1101,   706,   877,   877
 # Input_thread count 805 time 46.053734 cmd = PFRQ1 value = -477
 # Input_thread count 806 time 46.068134 cmd = PFRQ2 value = 477
   46.1251,        0,     0,     0, 1091,  1196,  1133,  1120,  1158,   732,  1096,  1096
 # Input_thread count 807 time 46.152935 cmd = PFRQ1 value = -472
 # Input_thread count 808 time 46.168430 cmd = PFRQ2 value = 472
   46.2264,        0,     0,     0, 1056,   912,  1330,  1329,  1479,  1340,  1146,  1146
 # Input_thread count 809 time 46.253231 cmd = PFRQ1 value = -467
 # Input_thread count 810 time 46.268738 cmd = PFRQ2 value = 467
   46.3287,        0,     0,     0, 1286,  1192,  1637,  1605,  1853,  2719,  1748,  1748
 # Input_thread count 811 time 46.353535 cmd = PFRQ1 value = -461
 # Input_thread count 812 time 46.369034 cmd = PFRQ2 value = 461
   46.4289,        0,     0,     0, 1404,  1284,  1717,  1679,  1856,  2731,  2078,  2078
 # Input_thread count 813 time 46.453835 cmd = PFRQ1 value = -455
 # Input_thread count 814 time 46.469334 cmd = PFRQ2 value = 455
   46.5301,        0,     0,     0, 1293,  1236,  1420,  1389,  1512,  2612,  1892,  1892
 # Input_thread count 815 time 46.555233 cmd = PFRQ1 value = -449
 # Input_thread count 816 time 46.576233 cmd = PFRQ2 value = 449
   46.6324,        0,     0,     0, 1283,  1212,  1112,  1041,   968,  2119,  1580,  1580
 # Input_thread count 817 time 46.669937 cmd = PFRQ1 value = -442
 # Input_thread count 818 time 46.692032 cmd = PFRQ2 value = 442
   46.7325,        0,     0,     0, 1168,  1099,  1015,  1006,   949,  2048,  1608,  1608
 # Input_thread count 819 time 46.770233 cmd = PFRQ1 value = -434
 # Input_thread count 820 time 46.792336 cmd = PFRQ2 value = 434
   46.8337,        0,     0,     0, 1088,   860,   800,   805,   617,  1107,  1232,  1232
 # Input_thread count 821 time 46.870533 cmd = PFRQ1 value = -427
 # Input_thread count 822 time 46.892628 cmd = PFRQ2 value = 427
   46.9350,        0,     0,     0, 1019,   902,   764,   805,   639,   534,  1005,  1005
 # Input_thread count 823 time 46.970833 cmd = PFRQ1 value = -418
 # Input_thread count 824 time 46.992928 cmd = PFRQ2 value = 418
   47.0362,        0,     0,     0,  978,   965,   924,   965,   906,   554,   821,   821
 # Input_thread count 825 time 47.065632 cmd = PFRQ1 value = -410
 # Input_thread count 826 time 47.092133 cmd = PFRQ2 value = 410
   47.1385,        0,     0,     0, 1079,   904,  1052,  1141,  1134,   644,   908,   908
 # Input_thread count 827 time 47.192337 cmd = PFRQ1 value = -401
 # Input_thread count 828 time 47.208927 cmd = PFRQ2 value = 401
   47.2398,        0,     0,     0, 1115,   977,  1115,  1184,  1146,   657,   944,   944
 # Input_thread count 829 time 47.292759 cmd = PFRQ1 value = -391
 # Input_thread count 830 time 47.308235 cmd = PFRQ2 value = 391
   47.3410,        0,     0,     0, 1019,  1051,  1048,  1107,  1144,   686,   891,   891
 # Input_thread count 831 time 47.372128 cmd = PFRQ1 value = -382
 # Input_thread count 832 time 47.393135 cmd = PFRQ2 value = 382
   47.4434,        0,     0,     0,  971,  1025,  1042,  1063,  1105,   700,   888,   888
 # Input_thread count 833 time 47.494431 cmd = PFRQ1 value = -371
 # Input_thread count 834 time 47.509937 cmd = PFRQ2 value = 371
   47.5446,        0,     0,     0, 1089,  1116,  1170,  1168,  1189,   820,  1037,  1037
 # Input_thread count 835 time 47.593655 cmd = PFRQ1 value = -361
 # Input_thread count 836 time 47.610229 cmd = PFRQ2 value = 361
   47.6458,        0,     0,     0, 1141,  1172,  1494,  1450,  1650,  1711,  1338,  1338
 # Input_thread count 837 time 47.695034 cmd = PFRQ1 value = -350
 # Input_thread count 838 time 47.710533 cmd = PFRQ2 value = 350
   47.7481,        0,     0,     0, 1284,  1032,  1545,  1517,  1749,  2692,  1770,  1770
 # Input_thread count 839 time 47.773335 cmd = PFRQ1 value = -338
 # Input_thread count 840 time 47.795532 cmd = PFRQ2 value = 338
   47.8482,        0,     0,     0, 1284,  1107,  1591,  1546,  1688,  2645,  1913,  1913
 # Input_thread count 841 time 47.895733 cmd = PFRQ1 value = -327
 # Input_thread count 842 time 47.911232 cmd = PFRQ2 value = 327
